000 A Sea Zone  (14126,656)  (14050,581)  (14128,804)  (13975,506)  (14075,506)  (13950,619)  (14028,847)  (14128,879)  (13900,431)  (14000,431)  (14100,431)  (13875,523)  (14028,922)  (13834,948)  (14128,954)  (13825,356)  (13925,356)  | overflowToLeft=false
000 B Sea Zone  (12305,294)  (12205,338)  (12405,291)  (12105,397)  (12105,322)  (12005,394)  (12005,319)  (11905,378)  (11905,303)  (11805,379)  (11805,304)  (11786,229)  (11705,310)  (11686,235)  (11605,312)  (11586,237)  (11505,327)  | overflowToLeft=false
001 A Sea Zone  (15535,1699)  (15473,1624)  (15573,1624)  (15635,1699)  (15673,1561)  (15473,1549)  (15573,1549)  (15735,1636)  (15735,1711)  (15673,1486)  (15473,1474)  (15573,1474)  (15673,1411)  (15473,1399)  (15573,1399)  (15835,1696)  | overflowToLeft=false
001 B Sea Zone  (15041,1487)  (15115,1562)  (15015,1562)  (14965,1412)  (15065,1412)  (14941,1487)  (15141,1487)  (15165,1363)  (15190,1637)  (15090,1637)  (14990,1637)  (14950,1337)  (15050,1337)  (15215,1562)  (14865,1412)  (14841,1498)  | overflowToLeft=false
002 Sea Zone  (14280,865)  (14354,940)  (14254,940)  (14228,790)  (14328,790)  (14407,1015)  (14307,1015)  (14228,715)  (14328,715)  (14385,1090)  (14285,1090)  (14228,640)  (14328,640)  (14428,610)  (14431,1165)  (14331,1165)  | overflowToLeft=false
003 A Sea Zone  (13772,1288)  (13846,1363)  (13746,1363)  (13696,1213)  (13796,1213)  (13672,1288)  (13872,1288)  (13896,1164)  (13646,1413)  (13921,1438)  (13821,1438)  (13668,1138)  (13768,1138)  (13946,1363)  (13596,1213)  (13572,1338)  | overflowToLeft=false
003 B Sea Zone  (13692,1762)  (13766,1837)  (13666,1837)  (13616,1687)  (13716,1687)  (13592,1762)  (13792,1762)  (13816,1673)  (13566,1870)  (13866,1837)  (13516,1687)  (13492,1795)  | overflowToLeft=false
004 Sea Zone  (13141,1776)  (13215,1851)  (13115,1851)  (13065,1701)  (13165,1701)  (13041,1776)  (13241,1776)  (13265,1652)  (13015,1901)  (13290,1926)  (13190,1926)  (12990,1626)  (13090,1626)  (13315,1851)  (12941,1826)  (12941,1751)  | overflowToLeft=false
005 A Sea Zone  (12454,1656)  (12515,1731)  (12415,1731)  (12378,1581)  (12478,1581)  (12354,1656)  (12578,1532)  (12530,1806)  (12430,1806)  (12332,1506)  (12652,1457)  (12547,1881)  (12447,1881)  (12347,1881)  (12659,1382)  (12562,1956)  | overflowToLeft=false
005 B Sea Zone  (11983,2277)  (11965,2352)  (11970,2202)  (11865,2406)  (11987,2127)  (11836,2481)  (11998,2052)  (11761,2556)  (12217,1930)  (12146,1855)  (12119,1780)  (12219,1780)  (11833,1763)  (12077,1705)  (12177,1705)  (11876,1688)  | overflowToLeft=false
006 A Sea Zone  (12475,3285)  (12559,3284)  (12642,3285)  (12737,3287)  (12846,3287)  (12584,3187)  (12689,3182)  (12779,3182)  (12879,3183)  (12501,3391)  (12602,3393)  (12702,3393)  (12808,3394)  (12609,3088)  (12719,3091)  (12819,3089)  (12920,3089)  | overflowToLeft=false
006 B Sea Zone  (12653,2203)  (12727,2278)  (12627,2278)  (12577,2128)  (12677,2128)  (12553,2203)  (12753,2203)  (12777,2119)  (12827,2278)  (12477,2128)  (12453,2221)  (12452,2053)  (12853,2194)  (12877,2119)  (12927,2269)  (12377,2146)  | overflowToLeft=false
006 C Sea Zone  (12139,3502)  (12065,3501)  (11990,3499)  (12214,3501)  (12216,3573)  (12136,3574)  (12059,3573)  (11983,3572)  (12005,3646)  (12086,3646)  (12165,3648)  (12247,3650)  (12093,3432)  (12170,3433)  (12249,3439)  | overflowToLeft=false
007 A Sea Zone  (13697,2162)  (13771,2237)  (13671,2237)  (13621,2087)  (13721,2087)  (13597,2162)  (13797,2162)  (13821,2038)  (13571,2287)  (13846,2312)  (13746,2312)  (13546,2012)  (13646,2012)  (13871,2237)  (13521,2087)  (13497,2212)  | overflowToLeft=false
007 B Sea Zone  (13761,2579)  (13835,2654)  (13735,2654)  (13685,2504)  (13785,2504)  (13661,2579)  (13861,2579)  | overflowToLeft=false
007 C Sea Zone  (13357,2481)  (13431,2556)  (13331,2556)  (13281,2406)  (13381,2406)  (13257,2481)  (13457,2481)  (13231,2606)  (13506,2631)  (13406,2631)  (13206,2331)  (13306,2331)  (13531,2556)  (13181,2406)  (13306,2681)  (13206,2681)  | overflowToLeft=false
008 Sea Zone  (14325,1690)  (14175,1630)  (14275,1630)  (14375,1630)  (14475,1630)  (14225,1690)  (14425,1690)  (14525,1690)  (14175,1750)  (14275,1750)  (14375,1750)  (14475,1750)  (14225,1810)  (14325,1810)  (14425,1810)  (14525,1810)  (14175,1870)  (14275,1870)  (14375,1870)  (14475,1870)  | overflowToLeft=false
009 Sea Zone  (15136,2619)  (15210,2694)  (15110,2694)  (15060,2544)  (15160,2544)  (15036,2619)  (15236,2619)  (15260,2495)  (15010,2744)  (15285,2769)  (15185,2769)  (14985,2469)  (15085,2469)  (15185,2420)  (15285,2420)  (15085,2819)  | overflowToLeft=false
